"DRS","Time","base","virus","projecao","dt_event","wis","overprediction","underprediction","dispersion","ae_median","cov_50","cov_95"
"ARAÇATUBA",12,"2023-10-20","covid","Previsto",2023-10-20,1.83,0,0.8,1.03,4,1,1
"ARAÇATUBA",12,"2023-10-25","covid","Previsto",2023-10-25,0.79,0,0,0.79,0,1,1
"ARAÇATUBA",12,"2023-11-01","covid","Previsto",2023-11-01,1.1,0,0.4,0.7,2,1,1
"ARAÇATUBA",12,"2023-11-08","covid","Previsto",2023-11-07,1.39,0.6,0,0.79,3,1,1
"ARAÇATUBA",12,"2023-11-13","covid","Previsto",2023-11-12,1.76025,0.5,0,1.26025,2.5,1,1
"ARAÇATUBA",12,"2023-11-29","covid","Previsto",2023-11-28,1.99025,1.2,0,0.79025,4,0,1
"ARAÇATUBA",12,"2023-12-06","covid","Previsto",2023-11-24,1.4,0.6,0,0.8,3,1,1
"ARAÇATUBA",12,"2023-12-13","covid","Previsto",2023-12-13,0.79,0,0.4,0.39,2,1,1
"ARAÇATUBA",12,"2023-12-20","covid","Previsto",2023-12-19,0.56,0,0,0.56,0,1,1
"ARAÇATUBA",12,"2023-12-27","covid","Previsto",2023-12-27,0.38,0,0,0.38,0,1,1
"ARAÇATUBA",12,"2024-01-03","covid","Previsto",2023-12-29,1.08,0,0.8,0.28,2,0,1
"ARAÇATUBA",12,"2024-01-17","covid","Previsto",2024-01-17,1.09,0,0.8,0.29,2,0,1
"ARAÇATUBA",12,"2024-01-31","covid","Previsto",2024-01-31,2.16,0,1.6,0.56,4,0,1
"ARAÇATUBA",12,"2024-02-07","covid","Previsto",2024-01-31,1.85,0,1.2,0.65,4,0,1
"ARAÇATUBA",12,"2024-02-14","covid","Previsto",2024-02-15,2.25,0,1.4,0.85,5,0,1
"ARAÇATUBA",12,"2024-02-21","covid","Previsto",2024-02-14,1.84,0,0.6,1.24,3,1,1
"ARAÇATUBA",12,"2024-02-28","covid","Previsto",2024-02-21,3.78025,2.2,0,1.58025,7,0,1
"ARAÇATUBA",12,"2024-03-06","covid","Previsto",2024-03-05,1.37,0,0.4,0.97,2,1,1
"ARAÇATUBA",12,"2024-03-13","covid","Previsto",2024-03-06,1.205,0.1,0,1.105,0.5,1,1
"ARAÇATUBA",11,"2024-03-18","covid","Previsto",2024-03-16,1.13025,0,0.2,0.93025,1,1,1
