"","virus","tipo","widow","DRS","n","cob50","cob95","WIS","dispersao","subprev","superprev","MAE"
"80","srag","com_atraso",10,"REGISTRO",60,40,98.3,2.7,0.8,1.6,0,5
"81","srag","com_atraso",10,"RIBEIRÃO PRETO",60,10,25,31.1,0.8,30.3,0,37
"82","srag","com_atraso",10,"SOROCABA",60,1.7,20,21.7,0.8,21.2,0,31.5
"83","srag","com_atraso",10,"SÃO JOSÉ DO RIO PRETO",60,21.7,61.7,23.4,2.8,16.9,0,36
"84","srag","com_atraso",10,"SÃO JOÃO DA BOA VISTA",60,31.7,83.3,2.8,0.7,2.2,0,5
"85","srag","com_atraso",10,"TAUBATÉ",60,3.3,10,57.3,0.9,56.2,0,68.5
"86","srag","corte 3 semanas",10,"ARARAQUARA",60,41.7,100,6.7,1.5,2.9,0,9
"87","srag","corte 3 semanas",10,"ARAÇATUBA",60,55,96.7,6.9,2.4,1.3,0,8.5
"88","srag","corte 3 semanas",10,"BAIXADA SANTISTA",60,35,80,19.5,3.2,11.8,0,30
"89","srag","corte 3 semanas",10,"BARRETOS",60,56.7,100,3.5,1.4,0.2,0,4
"90","srag","corte 3 semanas",10,"BAURU",60,30,90,19.4,3,14.2,0,31.5
"91","srag","corte 3 semanas",10,"CAMPINAS",60,15,60,80.9,6,66.1,0,122
"92","srag","corte 3 semanas",10,"FRANCA",60,45,96.7,4.6,1.7,0.9,0,6
"93","srag","corte 3 semanas",10,"GRANDE SÃO PAULO",60,13.3,70,280.4,15.9,237.2,0,436
"94","srag","corte 3 semanas",10,"MARÍLIA",60,31.7,86.7,17.8,2.9,8.9,0,25.5
"95","srag","corte 3 semanas",10,"PIRACICABA",60,33.3,88.3,13.3,2.6,8,0,23
"96","srag","corte 3 semanas",10,"PRESIDENTE PRUDENTE",60,56.7,100,4.2,1.9,0.4,0,4
"97","srag","corte 3 semanas",10,"REGISTRO",60,51.7,98.3,5.2,1.9,0.9,0,6.5
"98","srag","corte 3 semanas",10,"RIBEIRÃO PRETO",60,21.7,90,21,2.5,15.2,0,34.5
"99","srag","corte 3 semanas",10,"SOROCABA",60,30,81.7,14.3,2.6,8.5,0,23
"100","srag","corte 3 semanas",10,"SÃO JOSÉ DO RIO PRETO",60,18.3,78.3,41.3,3.6,30.8,0,65
"101","srag","corte 3 semanas",10,"SÃO JOÃO DA BOA VISTA",60,36.7,100,5.4,1.6,1.1,0,8
"102","srag","corte 3 semanas",10,"TAUBATÉ",60,13.3,61.7,42,2.7,31.4,0,60.5
"103","srag","mediana",10,"ARARAQUARA",60,41.7,88.3,3.4,1.2,0.9,0,6
"104","srag","mediana",10,"ARAÇATUBA",60,33.3,86.7,3.9,1,2.2,0,7.5
"105","srag","mediana",10,"BAIXADA SANTISTA",60,48.3,80,6.2,2.7,0.8,0,12.5
"106","srag","mediana",10,"BARRETOS",60,55,95,2.1,0.8,0,0.2,4
"107","srag","mediana",10,"BAURU",60,26.7,71.7,12.2,2.1,7.3,0,23.5
"108","srag","mediana",10,"CAMPINAS",60,33.3,88.3,19.5,6.7,9,0,38.8
"109","srag","mediana",10,"FRANCA",60,60,91.7,2.2,1,0.2,0,4
"110","srag","mediana",10,"GRANDE SÃO PAULO",60,38.3,88.3,50.1,19.1,24.5,0,101
"111","srag","mediana",10,"MARÍLIA",60,18.3,68.3,11.8,1.6,8.5,0,21.5
"112","srag","mediana",10,"PIRACICABA",60,33.3,88.3,5.4,2,1.5,0,10.5
"113","srag","mediana",10,"PRESIDENTE PRUDENTE",60,36.7,93.3,3.1,1.1,0,0.8,6
"114","srag","mediana",10,"REGISTRO",60,66.7,95,2.1,1.2,0.3,0,4
"115","srag","mediana",10,"RIBEIRÃO PRETO",60,41.7,76.7,6.1,2.2,2.7,0,12.5
"116","srag","mediana",10,"SOROCABA",60,26.7,73.3,8.1,1.7,5.8,0,15
"117","srag","mediana",10,"SÃO JOSÉ DO RIO PRETO",60,43.3,90,9.7,4.5,1.5,0,19
"118","srag","mediana",10,"SÃO JOÃO DA BOA VISTA",60,40,96.7,3.1,1.2,0,0,5.5
"119","srag","mediana",10,"TAUBATÉ",60,18.3,63.3,17.8,2.6,13.7,0,33.2
"120","srag","nowcaster",NA,"ARARAQUARA",60,51.7,96.7,3,1.4,0.6,0,5
"121","srag","nowcaster",NA,"ARAÇATUBA",60,50,90,2.8,1.2,1,0,6
"122","srag","nowcaster",NA,"BAIXADA SANTISTA",60,56.7,88.3,7.3,3.4,0.8,0,13
"123","srag","nowcaster",NA,"BARRETOS",60,60,100,2.4,1,0,0.3,4
"124","srag","nowcaster",NA,"BAURU",60,38.3,90,11,3.2,3.8,0,21
"125","srag","nowcaster",NA,"CAMPINAS",60,40,95,18.2,7,5.6,0,34.2
"126","srag","nowcaster",NA,"FRANCA",60,65,98.3,2.9,1.3,0.2,0,4
"127","srag","nowcaster",NA,"GRANDE SÃO PAULO",60,45,93.3,49.7,21.9,17.8,0,104
"128","srag","nowcaster",NA,"MARÍLIA",60,30,83.3,9.5,2.5,4.8,0,18
"129","srag","nowcaster",NA,"PIRACICABA",60,46.7,88.3,5.6,2.6,1.1,0,10
"130","srag","nowcaster",NA,"PRESIDENTE PRUDENTE",60,50,98.3,3.9,1.8,0,0.9,6
"131","srag","nowcaster",NA,"REGISTRO",60,70,98.3,2.5,1.4,0,0,2.5
"132","srag","nowcaster",NA,"RIBEIRÃO PRETO",60,45,83.3,6.9,2.6,2.9,0,14
"133","srag","nowcaster",NA,"SOROCABA",60,38.3,86.7,7.8,2.4,3.7,0,14.5
"134","srag","nowcaster",NA,"SÃO JOSÉ DO RIO PRETO",60,60,93.3,8.2,4.3,1.2,0,15
"135","srag","nowcaster",NA,"SÃO JOÃO DA BOA VISTA",60,53.3,98.3,3.2,1.4,0.1,0,6
"136","srag","nowcaster",NA,"TAUBATÉ",60,30,73.3,17,4.1,8.3,0,29.5
